"module name","license","repository"
"astral-regex@2.0.0","MIT","https://github.com/kevva/astral-regex"
"at-least-node@1.0.0","ISC","https://github.com/RyanZim/at-least-node"
"balanced-match@4.0.4","MIT","https://github.com/juliangruber/balanced-match"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"baseline-browser-mapping@2.10.0","Apache-2.0","https://github.com/web-platform-dx/baseline-browser-mapping"
"big-integer@1.6.52","Unlicense","https://github.com/peterolson/BigInteger.js"
"bplist-parser@0.3.2","MIT","https://github.com/nearinfinity/node-bplist-parser"
"brace-expansion@5.0.5","MIT","https://github.com/juliangruber/brace-expansion"
"buffer-crc32@0.2.13","MIT","https://github.com/brianloveswords/buffer-crc32"
"caniuse-lite@1.0.30001776","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"care-tracking@1.0.0","UNLICENSED",""
"chownr@3.0.0","BlueOak-1.0.0","https://github.com/isaacs/chownr"
"class-variance-authority@0.7.1","Apache-2.0","https://github.com/joe-bell/cva"
"client-only@0.0.1","MIT",""
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"commander@12.1.0","MIT","https://github.com/tj/commander.js"
"cookie@1.1.1","MIT","https://github.com/jshttp/cookie"
"cross-spawn@7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"csstype@3.2.3","MIT","https://github.com/frenic/csstype"
"d3-array@3.2.4","ISC","https://github.com/d3/d3-array"
"d3-color@3.1.0","ISC","https://github.com/d3/d3-color"
"d3-ease@3.0.1","BSD-3-Clause","https://github.com/d3/d3-ease"
"d3-format@3.1.2","ISC","https://github.com/d3/d3-format"
"d3-interpolate@3.0.1","ISC","https://github.com/d3/d3-interpolate"
"d3-path@3.1.0","ISC","https://github.com/d3/d3-path"
"d3-scale@4.0.2","ISC","https://github.com/d3/d3-scale"
"d3-shape@3.2.0","ISC","https://github.com/d3/d3-shape"
"d3-time-format@4.1.0","ISC","https://github.com/d3/d3-time-format"
"d3-time@3.1.0","ISC","https://github.com/d3/d3-time"
"d3-timer@3.0.1","ISC","https://github.com/d3/d3-timer"
"date-fns@4.1.0","MIT","https://github.com/date-fns/date-fns"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"decimal.js-light@2.5.1","MIT","https://github.com/MikeMcl/decimal.js-light"
"define-lazy-prop@2.0.0","MIT","https://github.com/sindresorhus/define-lazy-prop"
"detect-libc@2.1.2","Apache-2.0","https://github.com/lovell/detect-libc"
"dom-helpers@5.2.1","MIT","https://github.com/react-bootstrap/dom-helpers"
"elementtree@0.1.7","Apache-2.0","https://github.com/racker/node-elementtree"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"env-paths@2.2.1","MIT","https://github.com/sindresorhus/env-paths"
"eventemitter3@4.0.7","MIT","https://github.com/primus/eventemitter3"
"fast-equals@5.4.0","MIT","https://github.com/planttheidea/fast-equals"
"fd-slicer@1.1.0","MIT","https://github.com/andrewrk/node-fd-slicer"
"fs-extra@11.3.4","MIT","https://github.com/jprichardson/node-fs-extra"
"fs-extra@9.1.0","MIT","https://github.com/jprichardson/node-fs-extra"
"fsevents@2.3.2","MIT","https://github.com/fsevents/fsevents"
"glob@13.0.6","BlueOak-1.0.0","https://github.com/isaacs/node-glob"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"iceberg-js@0.8.1","MIT","https://github.com/supabase/iceberg-js"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"ini@4.1.3","ISC","https://github.com/npm/ini"
"internmap@2.0.3","ISC","https://github.com/mbostock/internmap"
"is-docker@2.2.1","MIT","https://github.com/sindresorhus/is-docker"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-wsl@2.2.0","MIT","https://github.com/sindresorhus/is-wsl"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"jsonfile@6.2.0","MIT","https://github.com/jprichardson/node-jsonfile"
"kleur@3.0.3","MIT","https://github.com/lukeed/kleur"
"kleur@4.1.5","MIT","https://github.com/lukeed/kleur"
"lodash@4.18.1","MIT","https://github.com/lodash/lodash"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"lru-cache@11.2.6","BlueOak-1.0.0","https://github.com/isaacs/node-lru-cache"
"lucide-react@0.564.0","ISC","https://github.com/lucide-icons/lucide"
"minimatch@10.2.4","BlueOak-1.0.0","https://github.com/isaacs/minimatch"
"minipass@7.1.3","BlueOak-1.0.0","https://github.com/isaacs/minipass"
"minizlib@3.1.0","MIT","https://github.com/isaacs/minizlib"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"nanoid@3.3.11","MIT","https://github.com/ai/nanoid"
"native-run@2.0.3","MIT","https://github.com/ionic-team/native-run"
"next-themes@0.4.6","MIT","https://github.com/pacocoursey/next-themes"
"next@16.1.6","MIT","https://github.com/vercel/next.js"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"open@8.4.2","MIT","https://github.com/sindresorhus/open"
"package-json-from-dist@1.0.1","BlueOak-1.0.0","https://github.com/isaacs/package-json-from-dist"
"path-key@3.1.1","MIT","https://github.com/sindresorhus/path-key"
"path-scurry@2.0.2","BlueOak-1.0.0","https://github.com/isaacs/path-scurry"
"pend@1.2.0","MIT","https://github.com/andrewrk/node-pend"
"picocolors@1.1.1","ISC","https://github.com/alexeyraspopov/picocolors"
"playwright-core@1.58.2","Apache-2.0","https://github.com/microsoft/playwright"
"playwright@1.58.2","Apache-2.0","https://github.com/microsoft/playwright"
"plist@3.1.0","MIT","https://github.com/TooTallNate/node-plist"
"postcss@8.4.31","MIT","https://github.com/postcss/postcss"
"prompts@2.4.2","MIT","https://github.com/terkelg/prompts"
"prop-types@15.8.1","MIT","https://github.com/facebook/prop-types"
"react-dom@19.2.4","MIT","https://github.com/facebook/react"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-is@18.3.1","MIT","https://github.com/facebook/react"
"react-smooth@4.0.4","MIT","https://github.com/recharts/react-smooth"
"react-transition-group@4.4.5","BSD-3-Clause","https://github.com/reactjs/react-transition-group"
"react@19.2.4","MIT","https://github.com/facebook/react"
"readable-stream@3.6.2","MIT","https://github.com/nodejs/readable-stream"
"recharts-scale@0.4.5","MIT","https://github.com/recharts/recharts-scale"
"recharts@2.15.0","MIT","https://github.com/recharts/recharts"
"rimraf@6.1.3","BlueOak-1.0.0","https://github.com/isaacs/rimraf"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"sax@1.1.4","ISC","https://github.com/isaacs/sax-js"
"scheduler@0.27.0","MIT","https://github.com/facebook/react"
"semver@7.7.4","ISC","https://github.com/npm/node-semver"
"sharp@0.34.5","Apache-2.0","https://github.com/lovell/sharp"
"shebang-command@2.0.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@3.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"signal-exit@3.0.7","ISC","https://github.com/tapjs/signal-exit"
"sisteransi@1.0.5","MIT","https://github.com/terkelg/sisteransi"
"slice-ansi@4.0.0","MIT","https://github.com/chalk/slice-ansi"
"sonner@1.7.4","MIT","https://github.com/emilkowalski/sonner"
"source-map-js@1.2.1","BSD-3-Clause","https://github.com/7rulnik/source-map-js"
"split2@4.2.0","ISC","https://github.com/mcollina/split2"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@1.3.0","MIT","https://github.com/nodejs/string_decoder"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"styled-jsx@5.1.6","MIT","https://github.com/vercel/styled-jsx"
"tailwind-merge@3.5.0","MIT","https://github.com/dcastil/tailwind-merge"
"tar@7.5.13","BlueOak-1.0.0","https://github.com/isaacs/node-tar"
"through2@4.0.2","MIT","https://github.com/rvagg/through2"
"tiny-invariant@1.3.3","MIT","https://github.com/alexreardon/tiny-invariant"
"tree-kill@1.2.2","MIT","https://github.com/pkrumins/node-tree-kill"
"ts-custom-error@3.3.1","MIT","https://github.com/adriengibrat/ts-custom-error"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"undici-types@6.21.0","MIT","https://github.com/nodejs/undici"
"universalify@2.0.1","MIT","https://github.com/RyanZim/universalify"
"untildify@4.0.0","MIT","https://github.com/sindresorhus/untildify"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"victory-vendor@36.9.2","MIT AND ISC","https://github.com/FormidableLabs/victory"
"which@2.0.2","ISC","https://github.com/isaacs/node-which"
"wrap-ansi@7.0.0","MIT","https://github.com/chalk/wrap-ansi"
"ws@8.19.0","MIT","https://github.com/websockets/ws"
"xml2js@0.6.2","MIT","https://github.com/Leonidas-from-XIV/node-xml2js"
"xmlbuilder@11.0.1","MIT","https://github.com/oozcitak/xmlbuilder-js"
"xmlbuilder@15.1.1","MIT","https://github.com/oozcitak/xmlbuilder-js"
"yallist@5.0.0","BlueOak-1.0.0","https://github.com/isaacs/yallist"
"yauzl@2.10.0","MIT","https://github.com/thejoshwolfe/yauzl"
